tarih,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22
2007-01-01,2,4,12,14,16,17,21,22,27,29,31,32,36,39,44,59,62,64,69,73,74,75
2007-01-04,3,6,8,9,12,13,14,20,30,32,36,39,40,42,45,47,51,56,58,60,67,73
2007-01-08,3,6,12,15,18,19,20,26,28,29,31,40,42,44,46,52,54,56,57,60,78,79
2007-01-11,3,10,19,21,24,25,37,39,41,43,44,45,48,52,59,60,62,67,70,73,74,80
2007-01-15,7,10,14,15,23,25,27,30,32,36,40,42,43,44,46,48,49,51,55,68,74,77
2007-01-18,12,14,16,30,31,34,38,40,46,49,51,54,57,59,61,68,69,71,72,75,79,80
2007-01-22,4,8,10,12,13,14,22,24,26,31,35,36,37,40,47,54,64,65,66,71,73,80
2007-01-25,4,5,6,8,12,13,17,28,32,35,38,41,45,49,53,55,62,63,67,68,72,73
2007-01-29,6,10,12,18,20,23,29,35,39,41,43,44,47,48,51,52,60,63,66,68,71,72
2007-02-01,1,12,13,15,18,20,25,30,36,37,40,46,47,48,53,54,58,71,72,73,74,79
2007-02-05,3,4,12,14,15,17,20,21,25,26,29,30,31,41,42,46,49,51,54,62,64,66
2007-02-08,3,7,12,14,16,17,20,24,25,31,33,34,35,36,37,49,54,57,60,63,72,76
2007-02-12,2,3,7,8,19,23,24,25,27,28,49,53,54,57,59,65,66,68,70,74,76,77
2007-02-15,10,11,14,15,24,27,30,31,34,38,39,49,51,56,61,65,67,69,70,72,73,79
2007-02-19,4,9,10,12,13,14,21,30,31,36,37,39,47,60,61,62,63,66,68,69,76,80
2007-02-22,1,8,14,16,21,22,24,25,33,35,36,43,45,48,49,56,57,59,66,67,74,80
2007-02-26,1,2,7,9,15,17,19,20,26,30,35,44,45,49,54,58,60,64,71,72,73,78
2007-03-01,1,9,20,26,28,30,31,34,35,37,42,47,50,52,55,57,60,65,67,70,73,79
2007-03-05,1,3,6,10,12,20,21,27,28,29,32,33,39,44,52,53,55,59,66,69,76,78
2007-03-08,2,7,9,10,11,15,22,25,30,38,40,43,45,47,49,60,62,63,65,75,78,80
2007-03-12,2,11,12,17,18,22,26,28,30,37,38,41,46,47,51,54,56,62,72,73,77,79
2007-03-15,2,12,14,15,18,27,29,31,35,44,48,51,54,56,66,68,70,72,77,78,79,80
2007-03-19,2,6,12,14,17,25,27,38,41,44,47,49,57,58,63,66,68,70,73,74,75,79
2007-03-22,7,16,17,22,23,25,31,34,35,38,44,47,49,51,55,57,66,68,69,70,78,79
2007-03-26,2,4,12,18,19,20,25,35,38,46,47,48,49,52,55,57,59,60,64,65,69,79
2007-03-29,2,10,13,16,20,25,26,28,35,43,45,47,52,54,58,61,63,64,65,68,70,79
2007-04-02,5,7,12,16,19,20,21,22,25,36,40,46,47,52,53,54,66,68,69,73,77,80
2007-04-05,5,8,17,19,20,21,24,28,29,36,42,45,49,53,55,59,63,64,67,74,75,79
2007-04-09,1,3,11,17,23,24,25,28,33,34,42,44,49,51,52,56,64,68,72,74,77,78
2007-04-12,2,7,13,14,17,21,22,24,28,32,36,38,39,40,43,47,50,55,60,71,72,80
2007-04-16,2,4,7,14,20,25,26,27,31,33,35,36,39,40,42,43,44,48,59,60,77,79
2007-04-19,3,4,21,24,27,30,32,33,35,36,40,44,47,50,53,58,63,65,68,69,71,75
2007-04-23,2,3,6,7,13,15,26,34,35,36,39,40,42,43,44,45,62,66,69,70,77,80
2007-04-26,1,3,8,17,22,25,31,35,38,42,43,44,46,50,53,54,56,57,64,67,70,77
2007-04-30,2,8,13,17,19,25,30,34,35,38,43,44,45,52,54,57,67,70,71,72,78,79
2007-05-03,5,9,19,22,23,24,30,35,36,39,40,42,53,61,62,65,67,69,70,76,79,80
2007-05-07,4,6,13,15,18,22,23,25,26,33,41,45,46,49,52,56,57,61,62,66,69,77
2007-05-10,4,9,10,21,23,27,28,32,36,38,41,43,45,46,47,49,58,59,60,68,72,79
2007-05-14,8,9,16,18,22,25,29,31,32,33,36,37,40,42,43,46,49,54,72,74,77,78
2007-05-17,2,6,8,18,22,23,36,42,44,51,53,54,55,56,62,63,66,67,71,74,77,79
2007-05-21,8,9,10,12,15,16,19,21,25,26,28,31,44,53,54,56,57,61,62,68,69,75
2007-05-24,2,7,9,21,25,26,27,29,37,38,41,43,53,60,64,68,70,72,73,77,78,80
2007-05-28,3,8,14,16,18,21,23,24,25,26,28,29,33,37,45,50,52,54,58,62,71,73
