tarih,n1,n2,n3,n4,n5,n6
2020-01-01,3,5,25,26,54,57
2020-01-08,2,9,11,26,30,57
2020-01-15,41,43,47,57,58,60
2020-01-22,1,13,18,54,59,60
2020-01-29,23,29,45,47,58,60
2020-02-05,2,9,32,37,41,55
2020-02-12,14,15,41,45,46,53
2020-02-19,14,18,34,39,40,53
2020-02-26,8,16,20,36,43,57
2020-03-04,27,29,37,38,46,47
2020-03-11,3,12,13,49,56,60
2020-03-18,7,17,23,37,45,48
2020-03-25,1,16,22,42,50,56
2020-04-01,5,12,14,40,43,45
2020-04-08,6,14,23,40,50,59
2020-04-15,21,25,26,30,42,51
2020-04-22,3,10,20,34,55,60
2020-04-29,4,19,34,37,44,54
2020-05-06,20,21,24,30,49,51
2020-05-13,4,18,23,38,39,40
2020-05-20,2,22,25,42,52,55
2020-05-27,1,7,20,35,39,54
2020-06-03,3,20,31,45,46,52
2020-06-10,1,6,24,40,42,54
2020-06-17,9,13,31,55,56,57
2020-06-24,9,13,15,30,38,44
2020-07-01,8,16,24,31,34,44
2020-07-08,4,14,16,31,36,59
2020-07-15,1,6,14,33,43,58
2020-07-22,13,15,48,51,57,59
2020-07-29,1,9,12,23,27,41
2020-08-05,18,20,29,35,55,59
2020-08-12,4,22,30,31,41,47
2020-08-19,10,14,28,47,53,59
2020-08-26,8,18,20,24,29,50
2020-09-02,9,19,21,31,48,52
2020-09-09,14,16,17,35,45,53
2020-09-16,4,29,40,48,51,60
2020-09-23,9,16,20,26,38,56
2020-09-30,4,10,24,26,48,55
2020-10-07,8,13,24,37,55,60
2020-10-14,1,16,19,21,24,60
2020-10-21,4,6,22,32,37,51
2020-10-28,1,32,39,51,53,59
2020-11-04,17,21,27,33,39,51
2020-11-11,7,9,26,35,53,54
2020-11-18,5,15,34,45,46,60
2020-11-25,2,26,32,36,39,57
2020-12-02,4,10,15,18,25,53
2020-12-09,9,23,26,29,38,54
2020-12-16,16,17,32,42,50,59
2020-12-23,5,22,44,47,50,53
2020-12-30,7,19,28,45,46,50
